Region,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G11 ABM Male,G11 ABM Female,G11 HUMSS Male,G11 HUMSS Female,G11 STEM Male,G11 ACAD STEM Female,G11 ARTS Male,G11 ARTS Female,G11 Maritime Male,G11 Maritime Female,G11 Total Academic Track Male,G11 Total Academic Track Female,G11 Total Academic Track,G11 TVL Male,G11 TVL Female,G11 Sports Male,G11 Sports Female,G11 Arts Male,G11 Arts Female,G11 Grand Total Male,G11 Grand Total Female,G11 Grand Total,G12 ABM Male,G12 ABM Female,G12 HUMSS Male,G12 HUMSS Female,G12 STEM Male,G12 ACAD STEM Female,G12 ARTS Male,G12 ARTS Female,G12 Maritime Male,G12 Maritime Female,G12 Total Academic Track Male,G12 Total Academic Track Female,G12 Total Academic Track,G12 TVL Male,G12 TVL Female,G12 Sports Male,G12 Sports Female,G12 Arts Male,G12 Arts Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female
Region I - Ilocos Region,51362,47897,45996,40374,56529,53289,54292,49735,44437,40355,49742,46502,52971,49154,1620,1041,2154,6264,10689,11567,7113,8581,8847,8330,57,3,28860,34745,63605,17026,12247,0,0,83,42,45969,47034,93003,2133,6450,8259,9333,6590,7304,7744,7378,174,8,24900,30473,55373,16273,12350,0,0,146,114,55654,50957,56540,51512,56011,52414,50560,50912,51,26
Region II - Cagayan Valley,39083,36163,34871,30197,42670,40311,40021,37160,32833,29856,36342,34025,38537,36250,896,576,1389,3765,9011,9489,4855,6531,6109,6087,34,5,21398,25877,47275,7849,5494,121,57,78,57,29446,31485,60931,1484,3821,7064,7640,4454,5625,4848,5090,92,2,17942,22178,40120,7664,6045,145,95,85,93,39534,36985,38132,35942,36992,36483,32330,33427,11,17
Region III - Central Luzon,112805,105468,110494,97026,129776,123024,123221,114611,102284,94072,112317,106070,117152,111315,3873,2320,8664,19861,21028,26201,18203,18051,15383,14368,233,27,63511,78508,142019,29000,21075,102,50,187,187,92800,99820,192620,8505,19129,16365,21617,16157,15037,12500,11834,294,18,53821,67635,121456,29288,21129,87,44,194,182,117446,113439,118539,114009,114429,113656,103352,107324,96,79
Region IV-A - CALABARZON,144238,135306,145801,130083,167717,159177,161224,150599,132911,122164,141031,134282,152657,146244,5771,3296,12504,28505,31703,35990,25958,24696,7721,7407,242,26,78128,96624,174752,34847,25249,191,98,371,417,113537,122388,235925,11810,27100,24623,30500,23109,20779,8246,7820,299,31,68087,86230,154317,35006,25293,230,106,437,554,150145,143934,153517,147888,153342,151504,136363,140995,319,205
Region IV-B - MIMAROPA,38522,35740,38307,33186,41487,38195,38845,36025,32916,30363,36004,33752,36338,34716,950,672,1317,3465,6701,7891,3503,3730,6593,7706,148,20,18262,22812,41074,8403,6248,96,30,102,84,26863,29174,56037,1214,3172,4592,5716,2791,3043,5584,6713,259,33,14440,18677,33117,8428,6911,101,66,119,116,35168,33553,35446,33856,35479,34717,31588,33665,13,12
Region V - Bicol Region,67026,61162,73670,63667,76000,69514,74014,68391,62881,56385,67743,63169,67858,63561,1241,809,2002,5610,4877,7134,4498,5273,19489,24745,114,7,30980,42769,73749,17848,13722,99,37,264,251,49191,56779,105970,1927,5611,4118,6417,4472,4957,14424,19503,207,22,25148,36510,61658,18705,14695,112,69,270,327,63697,60428,68727,64749,72115,71011,61067,66612,57,28
Region VI - Western Visayas,80092,74808,77592,68230,88656,82175,86654,79764,72161,65226,80566,74978,83502,77650,2898,1908,2889,8602,15922,22321,7910,9998,9015,9335,774,16,36510,50272,86782,29407,21151,63,26,146,175,66126,71624,137750,2946,8913,12382,18392,7264,9122,7853,8227,1684,28,32129,44682,76811,26445,20246,103,52,173,205,88579,81075,92811,84052,95209,90108,77465,80782,28,24
Region VII - Central Visayas,82368,76849,82078,72862,88682,82479,87115,80633,69507,63618,79792,74206,84529,79789,2245,1364,3127,8567,10220,16700,9874,10228,15845,17419,531,20,39597,52934,92531,23367,17289,112,70,221,234,63297,70527,133824,2991,8580,8231,14267,9326,9482,12729,14215,950,45,34227,46589,80816,23404,18178,76,67,274,308,82234,76365,83092,79190,86392,87422,72075,78917,30,5
Region VIII - Eastern Visayas,53778,49080,51131,44618,56579,53001,54843,50948,46744,42175,49531,46291,50119,46942,832,537,1728,4308,9309,12546,3703,4502,9505,11494,0,0,24245,32850,57095,15344,12193,65,61,23,27,39677,45131,84808,1647,4102,7130,9909,3139,3479,7852,9746,0,0,19768,27236,47004,15247,12361,54,51,37,58,54680,49817,54429,49692,52934,52293,46278,50328,0,0
Region IX - Zamboanga Peninsula,42130,38512,45776,40734,47157,43820,45316,42467,38876,36120,39861,37907,41460,39748,1781,1146,1132,2872,6853,10828,3249,4527,3167,3755,0,0,14401,21982,36383,14022,11693,42,19,44,50,28509,33744,62253,1029,2715,4664,7702,2891,4023,2190,2656,0,0,10774,17096,27870,13018,11062,29,16,76,80,43769,40863,44036,42320,43447,45172,34501,39505,10,23
