Region,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 Sports Male,G11 Sports Female,G11 Arts Male,G11 Arts Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 Sports Male,G12 Sports Female,G12 Arts Male,G12 Arts Female
Region I,56850,53645,55378,50210,44771,40682,50272,46787,53573,49378,57379,52553,58462,52790,1879,1255,60460,53845,55396,52811,50846,49954,46572,46862,0,0,2134,6739,6253,7620,6211,6277,9586,9029,289,15,17940,13392,0,0,122,100,2465,6803,4080,5555,5376,5379,9778,9884,194,8,15130,12175,16,1,113,88
Region II,42989,40517,40770,37458,33163,29866,36783,34178,39283,36465,40083,37494,39308,36649,988,699,40765,37523,35324,34583,30995,31986,28176,29995,0,0,1673,4558,5155,5583,4119,4625,6027,6507,202,8,8636,6672,93,56,92,90,1665,4228,3205,3692,3477,3924,6131,6770,163,11,7452,6432,86,38,85,59
Region III,135584,128086,130876,119485,106671,96453,116300,108356,122237,113848,129408,121314,128479,119709,4275,2711,130003,121132,116914,114183,105507,107297,96547,100670,0,0,9505,20769,12399,16941,14987,12949,16079,15290,425,23,36638,26690,220,98,185,190,8110,18871,7853,11914,13506,11514,14316,14664,475,31,32840,26003,118,63,181,147
Region IV-A,176955,166394,173034,158665,140734,127163,147986,138703,161188,151626,166406,155958,164843,155103,6430,3747,176747,162220,155399,151018,137862,139374,125045,130182,0,0,13512,30719,19755,25476,22294,19318,12566,11715,380,18,44015,32686,251,111,446,574,12237,27637,13141,18713,19704,15688,12468,13310,181,11,37547,28798,225,109,351,438
Region IV-B - MIMAROPA,41350,38474,41429,37580,34425,31043,37658,34637,37865,35415,39096,36698,38406,35939,1000,677,41909,37672,36518,36202,31405,31768,27576,29770,0,0,1160,3272,3176,4166,2563,2633,6552,7541,471,48,9709,8183,89,47,95,105,996,2829,1806,2590,2083,2044,6528,7906,308,28,7849,7121,78,34,92,85
Region V,80183,73282,82500,74006,67726,59698,72820,66543,72410,66230,76292,70926,79658,72934,1727,1223,92971,81101,78502,76334,65572,68882,56412,62747,0,0,2356,6231,3035,4967,4125,4185,16081,21719,326,21,23432,18206,117,68,226,304,1998,5646,1843,3406,3459,3251,13592,18223,218,7,19603,17321,96,58,247,243
Region VI,87935,82313,90329,81572,73485,66301,82777,75996,86051,78781,91283,83582,94047,86259,2978,2023,107001,94019,87223,84947,73613,75426,66513,71015,0,0,2956,9655,9378,14575,6793,8029,9521,9113,2637,49,29171,22059,71,80,245,266,2526,8765,6040,10178,5947,6892,10684,11401,2302,45,23011,19815,57,33,161,214
Region VII,92032,85851,93437,84711,72911,65777,83907,76675,89260,81982,90553,83991,91174,84336,2892,1914,106811,96611,86156,86277,74188,77484,66146,72078,0,0,3342,9449,6137,11552,9430,8959,14479,15635,1516,76,27071,20879,83,66,224,324,2586,8092,3708,7883,8092,7477,12578,15242,801,43,22763,20632,74,75,172,238
Region VIII,57153,53692,57263,52423,47753,42976,50635,46825,51651,47548,56149,52209,56889,51714,1071,708,62093,55369,54810,54040,46545,48647,39746,44271,0,0,1776,3939,5828,8598,3038,2893,8639,10184,0,0,16684,13260,73,60,16,22,1437,3666,4487,6841,3046,2625,7059,9095,0,0,13545,11624,19,19,46,21
Region IX,48422,44826,48465,44705,40741,37380,41418,38859,44165,41009,47225,44042,47115,44415,1674,1077,54200,49660,42163,43338,33630,36994,27623,32094,0,0,1115,3113,4256,6642,2476,3355,3258,4095,45,0,13932,11444,28,44,51,64,985,2673,2232,3697,2299,2850,4117,5866,55,0,9723,8684,40,32,22,23
Region X,64867,60312,60853,56004,52751,48010,55906,51385,58099,52868,58065,53850,58223,54993,1963,1294,61119,57109,51374,52529,41178,44428,35764,39390,0,0,2396,6108,5208,7619,4032,4371,6230,7782,563,18,14592,10949,110,56,86,93,1828,5300,3016,5288,3498,3713,5456,7616,466,18,12115,9820,66,49,65,95
Region XI,62814,58883,62481,57810,49111,43992,57535,53423,60096,56082,58588,55068,61850,57745,2375,1367,66974,62603,55224,55953,45659,49282,38120,42881,0,0,2193,5179,4732,7396,3952,4599,5498,7629,202,22,18567,15024,13,0,82,97,1868,4567,3058,5466,3417,4024,5196,6909,116,9,14698,12557,8,0,66,114
Region XII,61654,58072,58580,53898,48210,44797,52907,49820,56557,52890,57355,54104,55712,53276,946,623,58842,56258,49454,51596,40547,43776,35046,39094,0,0,1728,4454,8666,12626,3648,4250,3122,3793,28,1,16865,11143,127,55,103,138,1570,4296,5655,8960,3278,3516,3406,4561,0,0,12429,9051,99,63,64,101
CARAGA,37156,34644,35268,32132,29943,26993,32977,30396,33592,31262,34526,31884,33718,31330,954,671,35609,32811,32403,31670,27260,28426,23527,25040,0,0,1128,2620,2861,3939,1909,2386,4686,5687,145,3,10850,7670,43,18,48,44,998,2258,1881,2774,1535,1879,4038,5150,29,0,9003,7111,26,4,26,37
BARMM,51985,52295,50206,49137,46713,46213,44024,43753,40514,41388,38351,40389,35372,38770,344,314,28453,32446,23487,28061,19705,24864,16223,22118,0,0,797,1095,1831,2397,1289,2105,4217,6224,0,0,3542,3741,15,36,45,54,638,895,1115,1631,972,1544,3188,4921,0,0,2701,3225,35,22,24,41
CAR,20184,18934,18695,17101,16249,14507,17807,16318,18620,17433,19545,17975,19776,18164,458,238,21355,18835,18109,17861,16009,16763,14050,15806,0,0,855,2199,3750,4612,2908,3298,1483,1688,0,0,4780,3560,53,36,42,50,887,2272,2256,3097,2433,2999,1686,2037,0,0,4034,3424,35,20,40,67
NCR,123928,116197,123584,114119,107592,99837,113133,106867,118956,113310,123691,117814,122640,116645,7122,3703,130043,121823,117730,116487,107489,109352,100015,106000,0,0,17385,33111,15226,20807,25322,20934,10853,10803,488,23,34790,26367,547,240,"1,012","1,676",15293,30239,8976,14716,22156,17852,10239,10440,247,10,29876,24675,310,148,773,"1,365"
PSO,667,657,676,694,577,562,573,584,534,523,569,505,543,500,6,5,595,569,562,539,544,504,549,470,0,0,71,69,10,28,191,138,26,20,0,0,0,0,0,0,0,0,27,46,3,2,186,150,10,8,0,0,0,0,0,0,0,0
